begin
end
concat
upcase
downcase
swapcase
slice
each_byte
each_line
strip
to_i
to_f
oct
hex
ord
chr
sprintf
format
center
ljust
rjust
succ
crypt
shift
sub
gsub
index
rindex
chomp
split
scan
tojis
toeuc
tosjis
length
join
strftime
to_s
divmod
abs
ceil
truncate
round
sin
cos
tan
log
log10
rand
prec_f
prec_i
year
month
day
hour
min
sec
wday
gm
local
strftime
now
local
divmod
wday
at
today
succ
leap?
parsedate
require
unshift
push
pop
slice
fill
clear
flatten
sort
reverse
delete_at
delete
uniq
delete_if
reject
select
assoc
collect
map
each
inject
choice
sample
next
row
max
max_by
fetch
Hash
key?
has_key?
include?
member?
size
default
each_key
each_value
each_pair
keys
values
to_a
indexes
indices
merge
initialize
width
height
self
nil
__FILE__
__LINE__
open
read
close
gets
readlines
ftype
exists
directory
file
dev
ino
mode
nlink
uid
gid
blocks
atime
mtime
utime
chown
dirname
basename
extname
mkdir
unlink
foreach
rename
chdir
pwd
getwd
entries
glob
when
case
elsif
else
eachdo
